GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prices-manager,com.zara.spring.java.domain.mappers,PriceInfrastructureMapperImpl,114,48,14,2,28,13,11,2,3,2
prices-manager,com.zara.spring.java.domain.mappers,PriceInfrastructureMapper,0,3,0,0,0,1,0,1,0,1
prices-manager,com.zara.spring.java.application.controllers.generic,ErrorDTO.LevelEnum,69,0,4,0,13,0,6,0,4,0
prices-manager,com.zara.spring.java.application.controllers.generic,ErrorDTO,201,0,16,0,46,0,25,0,17,0
prices-manager,com.zara.spring.java.application.controllers.generic,ExceptionHandlerController,409,7,23,0,70,2,27,2,13,2
prices-manager,com.zara.spring.java.application.controllers.generic,ErrorsDTO,95,0,8,0,24,0,13,0,9,0
prices-manager,com.zara.spring.java.infrastructure.entities,PriceEntity,0,27,0,0,0,9,0,1,0,1
prices-manager,com.zara.spring.java,PricesManagerApplication,5,3,0,0,2,1,1,1,1,1
prices-manager,com.zara.spring.java.dto,ErrorDTO.LevelEnum,69,0,4,0,13,0,6,0,4,0
prices-manager,com.zara.spring.java.dto,StatusHealthDTO,69,0,4,0,13,0,6,0,4,0
prices-manager,com.zara.spring.java.dto,ErrorsDTO,95,0,8,0,24,0,13,0,9,0
prices-manager,com.zara.spring.java.dto,HealthDTO,136,0,12,0,32,0,18,0,12,0
prices-manager,com.zara.spring.java.dto,ComponentDTO,164,0,14,0,38,0,21,0,14,0
prices-manager,com.zara.spring.java.dto,ErrorDTO,201,0,16,0,46,0,25,0,17,0
prices-manager,com.zara.spring.java.dto,PriceDTO,266,83,24,0,45,33,24,17,12,17
prices-manager,com.zara.spring.java.domain.services,PriceServiceImpl,0,40,0,0,0,7,0,2,0,2
prices-manager,com.zara.spring.java.application.controllers,PriceController,0,16,0,0,0,2,0,1,0,1
